threshold_min,county,zone,zone_label,population,county_total_population,pct_county_population,zone3_rural_population,zone3_urban_population,pct_zone3_population_rural,pct_zone3_population_urban,median_motorised_time_to_nearest_level4_for_zone3_population
30,Baringo,1,Zone 1: Well-served,431194.21875,747833.25,57.65913975475148,NA,NA,NA,NA,NA
30,Baringo,2,Zone 2: Motorised-dependent,241347.578125,747833.25,32.27291353052301,NA,NA,NA,NA,NA
30,Baringo,3,Zone 3: Critically underserved,75291.4375,747833.25,10.067944625355988,74768.7890625,500.1246032714844,99.30583283457696,0.6642516332238767,98.095367431640625
30,Bomet,1,Zone 1: Well-served,577743.125,998162.6875,57.880657355267054,NA,NA,NA,NA,NA
30,Bomet,2,Zone 2: Motorised-dependent,420389.1875,998162.6875,42.11629955362361,NA,NA,NA,NA,NA
30,Bomet,3,Zone 3: Critically underserved,30.337677001953125,998162.6875,0.0030393519395056656,30.337677001953125,0,100,0,58.48996353149414
30,Bungoma,1,Zone 1: Well-served,1521241.625,1897161.625,80.18513578145983,NA,NA,NA,NA,NA
30,Bungoma,2,Zone 2: Motorised-dependent,369594.90625,1897161.625,19.481466490763538,NA,NA,NA,NA,NA
30,Bungoma,3,Zone 3: Critically underserved,6325.07470703125,1897161.625,0.33339672401560677,4293.8603515625,2031.214111328125,67.8863183511373,32.113677788977455,89.35777282714844
30,Busia,1,Zone 1: Well-served,785223.875,1017364.375,77.18216740192028,NA,NA,NA,NA,NA
30,Busia,2,Zone 2: Motorised-dependent,230160.9375,1017364.375,22.623255065325047,NA,NA,NA,NA,NA
30,Busia,3,Zone 3: Critically underserved,1979.57373046875,1017364.375,0.19457863663338418,1419.2545166015625,560.31915283203125,71.69495607852366,28.305040838228912,45.74791717529297
30,Elgeyo Marakwet,1,Zone 1: Well-served,364027.5,503509.4375,72.29804903110679,NA,NA,NA,NA,NA
30,Elgeyo Marakwet,2,Zone 2: Motorised-dependent,126480.5703125,503509.4375,25.119801317030927,NA,NA,NA,NA,NA
30,Elgeyo Marakwet,3,Zone 3: Critically underserved,13001.3095703125,503509.4375,2.5821382087426117,11134.65234375,1866.6568603515625,85.64254457239547,14.357452610881069,71.8287582397461
30,Embu,1,Zone 1: Well-served,539387.3125,690965,78.06289935090778,NA,NA,NA,NA,NA
30,Embu,2,Zone 2: Motorised-dependent,151574.15625,690965,21.93658958847409,NA,NA,NA,NA,NA
