threshold_min,county,zone,zone_label,population,county_total_population,pct_county_population,zone3_rural_population,zone3_urban_population,pct_zone3_population_rural,pct_zone3_population_urban,median_motorised_time_to_nearest_level4_for_zone3_population
120,Baringo,1,Zone 1: Well-served,735316.375,747833.25,98.32624786341073,NA,NA,NA,NA,NA
120,Baringo,2,Zone 2: Motorised-dependent,8181.1650390625,747833.25,1.0939825207106664,NA,NA,NA,NA,NA
120,Baringo,3,Zone 3: Critically underserved,4335.66552734375,747833.25,0.5797636742340287,4335.66552734375,0,100,0,270.87030029296875
120,Bomet,1,Zone 1: Well-served,998129.0625,998162.6875,99.99663131066498,NA,NA,NA,NA,NA
120,Bomet,2,Zone 2: Motorised-dependent,30.471040725708008,998162.6875,0.0030527128600675133,NA,NA,NA,NA,NA
120,Bomet,3,Zone 3: Critically underserved,3.161736249923706,998162.6875,3.1675560402308724e-4,3.161736249923706,0,100,0,145.94314575195312
120,Bungoma,1,Zone 1: Well-served,1894239.125,1897161.625,99.84595408417034,NA,NA,NA,NA,NA
120,Bungoma,2,Zone 2: Motorised-dependent,157.48512268066406,1897161.625,0.00830109151510294,NA,NA,NA,NA,NA
120,Bungoma,3,Zone 3: Critically underserved,2765.02197265625,1897161.625,0.1457451983120442,2765.02197265625,0,100,0,240.06451416015625
120,Busia,1,Zone 1: Well-served,1016025.6875,1017364.375,99.86841612180494,NA,NA,NA,NA,NA
120,Busia,2,Zone 2: Motorised-dependent,1338.6224365234375,1017364.375,0.13157748289775112,NA,NA,NA,NA,NA
120,Busia,3,Zone 3: Critically underserved,0.08772772550582886,1017364.375,8.623038870004551e-6,0,0.08772772550582886,0,100,Inf
120,Elgeyo Marakwet,1,Zone 1: Well-served,503297.6875,503509.4375,99.95794517754199,NA,NA,NA,NA,NA
120,Elgeyo Marakwet,2,Zone 2: Motorised-dependent,173.3144989013672,503509.4375,0.03442130097141768,NA,NA,NA,NA,NA
120,Elgeyo Marakwet,3,Zone 3: Critically underserved,38.446224212646484,503509.4375,0.007635651161483241,38.446224212646484,0,100,0,173.08265686035156
120,Embu,1,Zone 1: Well-served,690963.0625,690965,99.99971959505909,NA,NA,NA,NA,NA
120,Embu,2,Zone 2: Motorised-dependent,1.9738155603408813,690965,2.856607151362054e-4,NA,NA,NA,NA,NA
120,Embu,3,Zone 3: Critically underserved,0,690965,0,0,0,NA,NA,NA
120,Garissa,1,Zone 1: Well-served,693968.375,1029470.6875,67.41021220188944,NA,NA,NA,NA,NA
120,Garissa,2,Zone 2: Motorised-dependent,225915.34375,1029470.6875,21.944805859273192,NA,NA,NA,NA,NA
120,Garissa,3,Zone 3: Critically underserved,109587.046875,1029470.6875,10.644989527688713,101826.2734375,7760.77294921875,92.91816536825534,7.081834186179907,192.5463409423828
120,Homa Bay,1,Zone 1: Well-served,1254744.25,1255094.875,99.97206386489307,NA,NA,NA,NA,NA
120,Homa Bay,2,Zone 2: Motorised-dependent,337.7879333496094,1255094.875,0.026913338591204858,NA,NA,NA,NA,NA
120,Homa Bay,3,Zone 3: Critically underserved,12.75797176361084,1255094.875,0.0010164946107050943,12.75797176361084,0,100,0,111.33833312988281
120,Isiolo,1,Zone 1: Well-served,251502.28125,330589.59375,76.07688989756653,NA,NA,NA,NA,NA
120,Isiolo,2,Zone 2: Motorised-dependent,58135.62109375,330589.59375,17.58543589781401,NA,NA,NA,NA,NA
120,Isiolo,3,Zone 3: Critically underserved,20951.78515625,330589.59375,6.33770256304385,20951.78515625,0,100,0,322.75927734375
120,Kajiado,1,Zone 1: Well-served,1284216.75,1335775.75,96.14014552966694,NA,NA,NA,NA,NA
120,Kajiado,2,Zone 2: Motorised-dependent,40549.81640625,1335775.75,3.0356754422476975,NA,NA,NA,NA,NA
120,Kajiado,3,Zone 3: Critically underserved,11009.3740234375,1335775.75,0.8241932841974036,11009.3740234375,0,100,0,229.58438110351562
120,Kakamega,1,Zone 1: Well-served,2094301.875,2094301.75,100.00000596857642,NA,NA,NA,NA,NA
120,Kakamega,2,Zone 2: Motorised-dependent,0,2094301.75,0,NA,NA,NA,NA,NA
120,Kakamega,3,Zone 3: Critically underserved,0,2094301.75,0,0,0,NA,NA,NA
120,Kericho,1,Zone 1: Well-served,1014490.5625,1014555.4375,99.99360557367275,NA,NA,NA,NA,NA
120,Kericho,2,Zone 2: Motorised-dependent,64.938751220703125,1014555.4375,0.006400709987886012,NA,NA,NA,NA,NA
120,Kericho,3,Zone 3: Critically underserved,0,1014555.4375,0,0,0,NA,NA,NA
