threshold_min,zone,zone_label,population,pct_total_population,zone3_rural_population,zone3_urban_population,pct_zone3_population_rural,pct_zone3_population_urban,median_motorised_time_to_nearest_level4_for_zone3_population
120,1,Zone 1: Well-served,52903064,96.93267091171752,NA,NA,NA,NA,NA
120,2,Zone 2: Motorised-dependent,1239742.5,2.2715423773520937,NA,NA,NA,NA,NA
120,3,Zone 3: Critically underserved,547862.9375,1.0038325535438621,518656.46875,29004.4375,94.66901906464517,5.2941046956657845,251.72512817382812
